
serving_basis,metric,value
per 100 g,Calories (kcal),52.0
per 100 g,Carbohydrates (g),13.8
per 100 g,Sugars (g),10.4
per 100 g,Dietary Fiber (g),2.4
per 100 g,Protein (g),0.3
per 100 g,Total Fat (g),0.2
per 100 g,Vitamin C (mg),4.6
per 100 g,Potassium (mg),107.0
per 100 g,Sodium (mg),1.0
